date,log_gdp,log_cpi,ffr,rrshock,shadow_rate,employment,real_wage,house_price,r_investment,consumption
2013-01-01,970.7562992997954,932.9509113764869,0.143333333,NA,-1.4069,135495,19.98,88.89793949,482.336,9978.18237
2013-04-01,970.8955874685364,933.1761227180522,0.116666667,NA,-1.254073333,136079,20.07,91.58514766,503.15,9999.439281
2013-07-01,971.6841237441809,933.9542406439475,0.083333333,NA,-1.663673333,136610,20.18,93.45407413,519.381,10042.5079
2013-10-01,972.3927778506837,935.1701035715039,0.086666667,NA,-1.99476,137239,20.3,94.57006308,517.361,10131.8342
2014-01-01,972.0420537957549,936.0319505848884,0.073333333,NA,-2.514266667,137743,20.46,95.32210572,520.902,10171.83283
2014-04-01,973.318007678534,937.4557358957973,0.093333333,NA,-2.922003333,138547,20.54,95.85027459,537.282,10248.20535
2014-07-01,974.4762358890149,938.7171886026499,0.09,NA,-2.8448,139297,20.65,96.6471576099999,552.131,10348.51568
2014-10-01,974.9242243231641,939.7135241902685,0.1,NA,-2.6636,140101,20.72,98.18907783,567.608,10462.72011
2015-01-01,975.7342483786737,939.9629267066827,0.11,NA,-2.016953333,140772,20.83,100.1901433,583.173,10521.96928
2015-04-01,976.31257427765,941.1213774164664,0.123333333,NA,-1.476873333,141473,20.97,100.9093996,602.343,10582.69936
2015-07-01,976.6354252252142,942.1225089894452,0.136666667,NA,-0.98364,142136,21.07,102.106543,621.627,10667.56509
2015-10-01,976.7815527534941,942.5250118363289,0.16,NA,-0.093356667,142836,21.21,103.6602127,637.756,10726.38319
2016-01-01,977.3690037449436,943.3091846438307,0.36,NA,0.478116667,143425,21.35,105.0661639,663.883,10805.18274
2016-04-01,977.6709362762499,944.4415950339952,0.373333333,NA,0.436663333,143964,21.49,105.704575,668.966,10867.63362
2016-07-01,978.270252164766,945.4000021495858,0.396666667,NA,0.47682,144713,21.61,106.8427696,675.12,10925.50783
2016-10-01,978.7659105426385,946.3547452504779,0.45,NA,0.458046667,145229,21.73,107.8407987,689.239,10984.42928
2017-01-01,979.236731481258,947.649743468237,0.7,NA,0.46875,145780,21.86,108.8571194,709.703,11072.00657
2017-04-01,979.7949354427043,948.2959566750917,0.95,NA,0.977183333,146318,21.97,110.529806,719.573,11127.45979
2017-07-01,980.511511881461,949.2529887918314,1.153333333,NA,1.096836667,146875,22.13,111.7711254,723.039,11183.11885
2017-10-01,981.447517487933,950.975583814465,1.203333333,NA,1.28287,147405,22.23,112.680075,736.972,11282.82075
2018-01-01,982.2074765065086,952.3500114633608,1.446666667,NA,1.53061,147988,22.42,113.8508625,743.564,11359.58497
2018-04-01,983.0379295884912,953.6098271680193,1.736666667,NA,1.788103333,148648,22.61,114.7631684,752.638,11455.97624
2018-07-01,983.5187244742997,954.6012288426626,1.923333333,NA,2.0316,149218,22.79,115.4744287,749.988,11538.27256
2018-10-01,983.7416177177571,955.4135728977178,2.22,NA,2.411133333,149717,23,116.1166952,734.727,11599.18644
2019-01-01,984.3376283306703,955.7180108434798,2.403333333,NA,2.45096,150168,23.2,116.8736528,734.007,11624.47792
2019-04-01,985.1274256129104,956.9677768440562,2.396666667,NA,2.336306667,150582,23.41,116.9036498,741.767,11714.35422
2019-07-01,985.8105855437454,958.067558810061,2.19,NA,2.050283333,151117,23.62,117.5757692,753.249,11801.30258
2019-10-01,986.2785863278905,959.0084171901381,1.643333333,NA,1.634296667,151734,23.81,118.2912985,757.959,11856.54962
2020-01-01,984.9664323719494,957.7771262766413,1.26,NA,1.24459,151866,24,120.1254125,797.908,11674.8329
2020-04-01,975.6042961546782,947.6528086962903,0.06,NA,0.460336667,133665,24.98,122.1785915,731.07,10426.19361
2020-07-01,982.880570805687,957.4198455286216,0.093333333,NA,0.197343333,140860,24.76,124.8722735,833.654,11246.47256
2020-10-01,983.9896742178796,958.7824299409887,0.09,NA,-0.114103333,142619,24.97,129.3069015,910.817,11354.1403
