horizon,spec,point,se,ci_low,ci_high,dep
4,high,-0.7833469853435364,0.3853643085058374,-1.166575559844842,-0.40011841084223093,FFR
4,low,-0.7544956399858179,0.3310036863021546,-1.0836648652004839,-0.42532641477115196,FFR
5,high,-0.7509972220626692,0.4240381998524095,-1.1726853526879708,-0.32930909143736764,FFR
5,low,-0.8241144473124232,0.28238251402614073,-1.1049319644663076,-0.5432969301585389,FFR
6,high,-0.28838868515979665,0.47775079340367066,-0.7634917278697912,0.18671435755019794,FFR
6,low,-0.8094998848079707,0.26211881167290274,-1.0701660034136617,-0.5488337662022799,FFR
7,high,-0.24919019630233552,0.33491816974666605,-0.58225221043709,0.08387181783241887,FFR
7,low,-0.6121324408851933,0.27550023857639,-0.8861058249636522,-0.33815905680673436,FFR
8,high,0.18184974798920983,0.33481168207431894,-0.15110636864031435,0.514805864618734,FFR
8,low,-0.3519395230805808,0.27239544330154647,-0.622825319022219,-0.08105372713894249,FFR
9,high,-0.026891452430484252,0.31502089981657583,-0.34016646962890806,0.2863835647679396,FFR
9,low,-0.19689096154384397,0.2660987811087181,-0.4615149921299153,0.06773306904222734,FFR
10,high,0.11158573979727945,0.3019213969559461,-0.1886623735152624,0.41183385310982135,FFR
10,low,-0.14566531972806465,0.2586343687190249,-0.40286630656967704,0.1115356671135477,FFR
11,high,0.19715289247595488,0.2990881218204256,-0.10027764804276643,0.4945834329946762,FFR
11,low,0.0385930267781713,0.27332985996428455,-0.23322200717992944,0.31040806073627203,FFR
12,high,0.2883733450065461,0.2837280579958868,0.00621774104474232,0.5705289489683498,FFR
12,low,-0.0014029754704322074,0.3262331727527975,-0.3258281258789811,0.32302217493811664,FFR
13,high,0.4746629592451052,0.23143580470724684,0.2445097987969906,0.7048161196932198,FFR
13,low,0.02256957946074169,0.2570540869346901,-0.2330598837027462,0.27819904262422956,FFR
14,high,0.4339619525304674,0.2682955261218774,0.16715335154865807,0.7007705535122767,FFR
14,low,0.07937749259877139,0.26305728641672593,-0.1822218996141077,0.34097688481165045,FFR
15,high,0.39879500171746124,0.33615280372153505,0.06450519609351973,0.7330848073414027,FFR
15,low,0.1810482708098317,0.257043892740404,-0.07457105465678537,0.4366675962764488,FFR
16,high,0.34007109852100137,0.38789545796619196,-0.04567459751473579,0.7258167945567385,FFR
16,low,0.2241229515772572,0.22344500458591607,0.0019163053029534471,0.44632959785156096,FFR
17,high,0.39015575338030634,0.3728906159297162,0.019331740794059582,0.7609797659665531,FFR
17,low,0.3613936037382089,0.18082616602403193,0.18156959744501466,0.5412176100314031,FFR
18,high,0.2822947190839114,0.3973344173197569,-0.11283762449027485,0.6774270626580976,FFR
18,low,0.34906311739168083,0.13455700578374746,0.21525184224893276,0.4828743925344289,FFR
19,high,0.3977336489558986,0.3564000531610821,0.04330880651348529,0.7521584913983119,FFR
19,low,0.12169672338065794,0.1249785822032991,-0.002589212923791051,0.24598265968510694,FFR
20,high,0.40117358063136777,0.3563955320871437,0.04675323420657307,0.7555939270561625,FFR
20,low,8.358656355325026e-4,0.10720973134965105,-0.10577969686192783,0.10745142813299284,FFR
